index;filename;m_timestamp;total_coverage;current_coverage;total_coverage_own_finds
;id_3_12_003130;2019-10-30 07:47:07.828663;0 days 17:29:35.560260;4645;1609;447
;id_0_7_000878;2019-10-29 14:48:34.767290;0 days 00:31:02.498887;4645;2422;164
;id_2_9_002298;2019-10-29 23:15:29.235395;0 days 08:57:56.966992;4645;1722;504
;id:000316,src:000000,op:flip1,pos:4628;2019-10-29 13:44:34.657858;0.0;4645;2327;2
;id_3_0_003312;2019-10-30 09:49:32.487325;0 days 19:32:00.218922;4645;684;209
;id:000847,src:000000,op:flip2,pos:6484;2019-10-29 13:44:34.657858;0.0;4645;2325;0
;id_0_3_000645;2019-10-29 14:41:23.943255;0 days 00:23:51.674852;4645;2292;125
;id_3_10_002882;2019-10-30 05:53:22.405411;0 days 15:35:50.137008;4649;1770;543
;id_3_0_002998;2019-10-30 07:02:03.894298;0 days 16:44:31.625895;4650;1702;514
;id_0_7_000838;2019-10-29 14:48:15.123471;0 days 00:30:42.855068;4650;2436;183
;id_3_11_003012;2019-10-30 07:03:00.401764;0 days 16:45:28.133361;4654;1784;552
;id:000608,src:000000,op:flip1,pos:6588;2019-10-29 13:44:34.657858;0.0;4654;2224;16
;id:000367,src:000000,op:flip1,pos:6072,+cov;2019-10-29 13:44:34.657858;0.0;4654;2325;0
;id_3_10_003030_cov;2019-10-30 07:09:02.862335;0 days 16:51:30.593932;4715;466;100
;id_0_7_000755;2019-10-29 14:47:52.467679;0 days 00:30:20.199276;4715;841;309
;id_3_8_002850;2019-10-30 05:24:15.798039;0 days 15:06:43.529636;4717;1714;499
;id_2_12_002395;2019-10-29 23:31:59.058032;0 days 09:14:26.789629;4717;1630;464
;id_2_10_002071;2019-10-29 22:35:15.822154;0 days 08:17:43.553751;4718;1883;282
;id_3_8_003111;2019-10-30 07:46:46.048869;0 days 17:29:13.780466;4722;1755;556
;id_0_12_000659;2019-10-29 14:44:24.825590;0 days 00:26:52.557187;4722;515;94
;id:000257,src:000000,op:flip1,pos:1243;2019-10-29 13:44:34.657858;0.0;4722;2330;7
;id_0_8_000458;2019-10-29 14:23:31.721111;0 days 00:05:59.452708;4722;2298;242
;id:000210,src:000000,op:flip1,pos:913,+cov;2019-10-29 13:44:34.657858;0.0;4722;2349;24
;id_3_11_003045;2019-10-30 07:25:49.080801;0 days 17:08:16.812398;4724;1822;549
;id_2_12_002419;2019-10-29 23:32:12.305905;0 days 09:14:40.037502;4724;1594;469
;id:000737,src:000000,op:flip1,pos:7205;2019-10-29 13:44:34.657858;0.0;4724;2359;51
;id_4_10_003378;2019-10-30 11:33:40.029017;0 days 21:16:07.760614;4728;1660;490
;id_1_1_001647;2019-10-29 17:46:01.669978;0 days 03:28:29.401575;4728;1107;254
;id_1_7_001761_cov;2019-10-29 18:03:19.952185;0 days 03:45:47.683782;4730;2191;240
;id_2_10_002073;2019-10-29 22:35:51.481821;0 days 08:18:19.213418;4730;1857;254
;id_2_8_001966_cov;2019-10-29 20:43:53.709287;0 days 06:26:21.440884;4732;837;177
;id_0_7_001018;2019-10-29 15:20:54.311706;0 days 01:03:22.043303;4732;771;80
;id_2_4_002197;2019-10-29 23:04:59.345353;0 days 08:47:27.076950;4732;1758;498
;id_1_1_001355;2019-10-29 16:48:13.514617;0 days 02:30:41.246214;4732;2360;80
;id:000295,src:000000,op:flip1,pos:4340;2019-10-29 13:44:34.657858;0.0;4732;2325;0
;id:000820,src:000000,op:flip2,pos:6165;2019-10-29 13:44:34.657858;0.0;4732;2353;28
;id_0_2_000208;2019-10-29 14:17:22.276495;0.0;4732;2366;43
;id:001121,src:000000,op:arith8,pos:6485,val:+23;2019-10-29 13:44:34.657858;0.0;4732;2384;61
;id_3_10_003316;2019-10-30 09:50:17.058906;0 days 19:32:44.790503;4739;1749;557
;id_2_12_002414;2019-10-29 23:32:11.841909;0 days 09:14:39.573506;4742;1578;448
;id_1_10_001167;2019-10-29 16:29:25.113199;0 days 02:11:52.844796;4742;2279;239
;id_0_4_000439;2019-10-29 14:22:24.597726;0 days 00:04:52.329323;4742;2425;109
