,filename,m_timestamp,total_coverage,current_coverage,total_coverage_own_finds,running_s
2155,id_3_8_001150_cov,2019-10-30 18:53:22.792216576,4839,758,3465,16946.0
2156,id_3_8_001151,2019-10-30 18:53:25.832187904,4839,858,3465,16949.0
2157,id_3_8_001160,2019-10-30 18:55:48.086846464,4839,1727,3465,17092.0
2158,id_3_8_001161,2019-10-30 18:55:48.094846464,4839,1400,3465,17092.0
2159,id_3_8_001171_cov,2019-10-30 18:58:34.589276416,4840,781,3466,17258.0
2160,id_3_8_001209_cov,2019-10-30 19:13:44.244685312,4843,503,3469,18168.0
2161,id_3_8_001210_cov,2019-10-30 19:13:44.328684800,4845,495,3471,18168.0
2162,id_3_8_001218,2019-10-30 19:18:53.953762816,4845,1413,3471,18477.0
2163,id_3_8_001219,2019-10-30 19:19:17.781538048,4845,1632,3471,18501.0
2164,id_3_8_001226,2019-10-30 19:23:49.334975744,4845,1337,3471,18773.0
2165,id_3_8_001233_cov,2019-10-30 19:27:34.064855552,4846,790,3472,18998.0
2166,id_3_8_001260,2019-10-30 19:39:35.990042368,4846,884,3472,19719.0
2167,id_3_9_001176_cov,2019-10-30 19:01:54.627385856,4849,1401,3475,17458.0
2168,id_3_9_001201_cov,2019-10-30 19:08:22.335724032,4850,754,3476,17846.0
2169,id_3_9_001205,2019-10-30 19:11:42.137837824,4850,671,3476,18046.0
2170,id_3_9_001216,2019-10-30 19:18:05.190223104,4850,1342,3476,18429.0
2171,id_3_9_001232_cov,2019-10-30 19:27:07.257108480,4850,1006,3476,18971.0
2172,id_3_9_001235,2019-10-30 19:29:16.727886848,4850,793,3476,19100.0
2173,id_3_9_001236,2019-10-30 19:29:19.739858688,4850,791,3476,19103.0
2174,id_3_9_001256,2019-10-30 19:38:15.790799360,4850,912,3476,19639.0
2175,id_3_9_001257,2019-10-30 19:38:21.994740736,4850,1674,3476,19645.0
2176,id_3_9_001268,2019-10-30 19:41:54.028739584,4850,1415,3476,19857.0
2177,id_3_9_001269_cov,2019-10-30 19:41:54.032739584,4853,1367,3479,19857.0
2178,id_3_9_001273,2019-10-30 19:42:59.180124672,4853,857,3479,19923.0
2179,id_4_001299,2019-10-30 20:17:19.664719616,4853,715,3479,21983.0
2180,id_4_001312,2019-10-30 20:36:01.858155008,4853,799,3479,23105.0
2181,id_4_001313,2019-10-30 20:36:02.086152704,4853,1377,3479,23106.0
2182,id_4_001314,2019-10-30 20:36:02.130152448,4853,894,3479,23106.0
2183,id_4_001354,2019-10-30 21:10:41.626561280,4853,524,3479,25185.0
2184,id_4_001357,2019-10-30 21:10:41.662561024,4853,524,3479,25185.0
2185,id_4_001359,2019-10-30 21:10:41.714560256,4853,524,3479,25185.0
2186,id_4_001360,2019-10-30 21:10:41.806559488,4853,524,3479,25185.0
2187,id_4_0_001316,2019-10-30 20:39:37.860119808,4853,790,3479,23321.0
2188,id_4_0_001325_cov,2019-10-30 20:48:39.879014400,4854,488,3480,23863.0
2189,id_4_0_001328,2019-10-30 20:51:01.969676032,4854,649,3480,24005.0
2190,id_4_0_001329,2019-10-30 20:51:01.969676032,4854,654,3480,24005.0
2191,id_4_0_001343,2019-10-30 20:59:15.521025792,4854,903,3480,24499.0
2192,id_4_0_001364,2019-10-30 21:13:59.920692736,4854,1778,3480,25383.0
2193,id_4_10_001281,2019-10-30 19:56:12.840635904,4854,648,3480,20716.0
2194,id_4_10_001326,2019-10-30 20:49:31.798525440,4854,557,3480,23915.0
2195,id_4_11_001277,2019-10-30 19:53:03.762419968,4854,544,3480,20527.0
2196,id_4_11_001365,2019-10-30 21:14:43.248284416,4854,545,3480,25427.0
